Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP-1020,4433,1500,Salaried,49,Married,2,707,1,0.57,29287,30505,120733,12,Business,Urban,Graduate,Male,Self,0
APP-1021,7311,5000,Salaried,48,Married,0,753,3,0.55,74527,147625,17253,120,Home,Urban,Graduate,Male,Govt,1
APP-1022,7051,1500,Salaried,31,Married,3,745,1,0.54,16439,43525,89311,120,Home,Urban,Graduate,Female,Private,0
APP-1023,8420,4000,Salaried,21,Single,1,765,0,0.14,43235,106008,42813,120,Business,Semi-Urban,Graduate,Male,Self,1
APP-1024,3184,0,Business,63,Married,1,834,3,0.53,28659,54348,58365,24,Business,Semi-Urban,Graduate,Female,Private,0
APP-1025,6555,2500,Self-Employed,39,Married,2,745,0,0.49,25976,17273,77593,240,Education,Semi-Urban,Postgraduate,Male,Private,0
APP-1026,5385,1500,Self-Employed,29,Single,0,701,0,0.15,68865,74236,48485,60,Personal,Urban,Undergraduate,Female,Private,1
APP-1027,14309,2000,Salaried,47,Married,0,563,1,0.15,69306,144607,121504,60,Personal,Urban,Graduate,Male,Private,1
APP-1028,8396,0,Salaried,54,Married,2,695,1,0.15,57697,159749,26101,24,Business,Urban,Graduate,Male,Private,1
APP-1029,13096,0,Salaried,64,Single,0,606,0,0.11,71382,117157,18831,48,Home,Semi-Urban,Undergraduate,Male,Private,1
APP-1030,10666,0,Self-Employed,24,Single,1,760,2,0.37,17651,10908,61897,360,Business,Rural,Graduate,Male,Govt,1
APP-1031,11274,2000,Salaried,56,Married,1,817,0,0.59,50044,118352,15004,360,Education,Urban,Undergraduate,Male,Private,1
APP-1032,4558,2500,Salaried,38,Single,3,759,1,0.32,15633,105967,55924,120,Education,Urban,Graduate,Male,Private,1
APP-1033,9849,2000,Business,35,Single,4,566,2,0.37,1569,98989,47170,360,Education,Urban,Postgraduate,Male,Private,0
APP-1034,4047,0,Salaried,33,Married,3,835,0,0.58,60900,45079,53555,48,Education,Semi-Urban,Postgraduate,Male,Private,0
APP-1035,4747,3000,Salaried,39,Single,0,752,0,0.23,68509,121889,128115,12,Business,Semi-Urban,Postgraduate,Male,Govt,1
APP-1036,11167,0,Salaried,26,Single,0,648,0,0.53,34038,59323,114216,24,Education,Semi-Urban,Undergraduate,Male,Govt,0
APP-1037,11998,0,Business,32,Single,1,828,4,0.37,50088,186392,75930,12,Business,Rural,Graduate,Female,Self,1
APP-1038,2189,0,Salaried,57,Single,0,758,0,0.38,74177,99909,46365,240,Home,Semi-Urban,Graduate,Male,Private,0
APP-1039,4734,2000,Self-Employed,37,Married,0,678,0,0.27,75466,56105,72188,360,Personal,Urban,Postgraduate,Male,Private,0
APP-1040,5005,0,Self-Employed,43,Married,1,837,1,0.38,73216,171236,108633,120,Business,Urban,Undergraduate,Female,Govt,1
APP-1041,6658,1500,Salaried,46,Married,1,801,1,0.14,67793,142957,73471,24,Personal,Semi-Urban,Graduate,Female,Govt,1
APP-1042,3899,2500,Self-Employed,49,Married,4,814,0,0.48,74786,198891,67287,120,Personal,Semi-Urban,Undergraduate,Male,Private,1
APP-1043,9734,0,Salaried,53,Married,0,820,1,0.24,39138,11049,142717,360,Personal,Semi-Urban,Graduate,Male,Self,1
APP-1044,3267,1500,Salaried,47,Single,0,737,0,0.54,64310,63281,69076,36,Business,Semi-Urban,Graduate,Male,Self,0
APP-1045,3528,0,Self-Employed,45,Single,0,763,4,0.28,29757,53271,126475,360,Business,Semi-Urban,Postgraduate,Male,Self,1
APP-1046,13394,0,Business,30,Married,3,832,0,0.17,71394,76697,60151,24,Home,Rural,Graduate,Female,Self,1
APP-1047,5556,1000,Self-Employed,43,Single,2,760,0,0.45,57151,46534,77384,60,Business,Semi-Urban,Postgraduate,Male,Self,0
APP-1048,5890,0,Salaried,41,Single,3,625,1,0.18,50272,103034,109865,24,Education,Rural,Graduate,Female,Private,0
APP-1049,10838,2000,Salaried,41,Married,3,697,0,0.48,7908,68097,43541,180,Home,Urban,Graduate,Male,Govt,0
APP-1050,13080,1000,Salaried,63,Married,1,762,1,0.58,11844,194885,82847,360,Business,Semi-Urban,Postgraduate,Male,Private,1
APP-1051,7393,1500,Salaried,33,Married,1,658,0,0.49,52455,35037,60955,180,Education,Rural,Postgraduate,Female,Govt,0
APP-1052,12627,2000,Salaried,57,Single,1,678,0,0.11,69447,177079,97780,60,Business,Urban,Graduate,Male,Private,1
APP-1053,10792,1500,Salaried,53,Married,1,559,2,0.4,75527,37278,109919,48,Home,Rural,Graduate,Male,Govt,0
APP-1054,12555,1500,Salaried,44,Single,1,596,1,0.45,78108,149344,122854,48,Home,Semi-Urban,Graduate,Female,Private,0
APP-1055,12253,1500,Salaried,64,Married,1,645,1,0.51,44066,198255,71768,240,Education,Urban,Graduate,Female,Private,0
APP-1056,10433,0,Salaried,31,Single,3,652,0,0.13,41004,109173,53262,12,Home,Semi-Urban,Undergraduate,Female,Govt,1
APP-1057,12233,0,Salaried,37,Single,4,695,0,0.34,39333,48294,146578,60,Personal,Urban,Undergraduate,Male,Private,1
APP-1058,13016,3000,Self-Employed,24,Single,2,576,0,0.37,40697,83277,30605,24,Home,Rural,Graduate,Male,Self,0
APP-1059,9513,2000,Salaried,45,Single,2,769,0,0.18,18634,14694,88590,360,Education,Rural,Graduate,Female,Private,1
APP-1060,4612,0,Business,50,Single,2,567,1,0.26,25561,68150,38231,180,Home,Urban,Undergraduate,Male,Self,0
APP-1061,9041,1000,Business,29,Single,0,716,3,0.32,19033,77470,89397,240,Home,Urban,Postgraduate,Female,Govt,1
APP-1062,11555,0,Salaried,41,Single,0,631,0,0.52,73887,31556,87123,120,Personal,Semi-Urban,Postgraduate,Male,Govt,0
APP-1063,8235,4000,Self-Employed,40,Single,2,621,0,0.56,56063,190927,23515,360,Home,Urban,Postgraduate,Male,Private,0
APP-1064,7486,0,Salaried,39,Single,2,803,0,0.41,26921,59086,97211,120,Personal,Urban,Graduate,Female,Private,1
APP-1065,9099,0,Salaried,39,Married,0,711,0,0.3,20340,159979,26600,180,Business,Semi-Urban,Graduate,Male,Private,1
APP-1066,11670,0,Salaried,32,Married,3,587,0,0.23,63781,189559,79310,180,Personal,Urban,Undergraduate,Male,Private,0
APP-1067,12748,1000,Salaried,57,Married,0,750,3,0.59,15901,170230,145501,360,Business,Urban,Postgraduate,Male,Private,1
APP-1068,2775,3000,Salaried,62,Married,0,749,1,0.59,11638,161365,145678,240,Home,Rural,Graduate,Male,Self,0
APP-1069,14206,0,Salaried,37,Married,2,804,4,0.56,39596,186833,145550,12,Home,Rural,Graduate,Male,Private,1
APP-1070,10226,2500,Self-Employed,57,Single,0,728,3,0.49,45324,109468,124380,48,Business,Rural,Graduate,Male,Govt,1
APP-1071,5152,0,Self-Employed,59,Single,0,584,1,0.26,33642,43387,121780,180,Personal,Rural,Postgraduate,Male,Private,0
APP-1072,12147,2500,Salaried,48,Single,1,631,1,0.51,26378,181822,76177,240,Personal,Urban,Graduate,Female,Govt,0
APP-1073,3585,0,Self-Employed,61,Married,2,769,0,0.3,51867,78602,65746,180,Personal,Urban,Graduate,Male,Private,1
APP-1074,5943,0,Salaried,55,Married,1,707,1,0.26,74686,162328,133075,36,Education,Urban,Undergraduate,Female,Govt,0
APP-1075,9555,2000,Salaried,38,Married,2,553,3,0.47,43875,146666,95195,48,Home,Rural,Graduate,Male,Private,0
APP-1076,5073,5000,Self-Employed,34,Married,1,716,0,0.14,65377,12460,46818,180,Personal,Rural,Graduate,Male,Govt,1
APP-1077,3021,3000,Salaried,55,Married,0,753,3,0.12,55691,82356,31309,240,Personal,Semi-Urban,Graduate,Male,Govt,1
APP-1078,13653,1500,Salaried,64,Married,4,743,0,0.32,65303,64698,38176,180,Education,Rural,Graduate,Female,Private,1
APP-1079,12805,4000,Salaried,61,Single,0,784,3,0.32,61839,111746,78879,120,Business,Semi-Urban,Graduate,Female,Private,1
APP-1080,5843,0,Salaried,27,Single,4,755,3,0.55,50063,26191,77592,360,Home,Urban,Undergraduate,Female,Private,0
APP-1081,9989,5000,Business,61,Married,1,699,1,0.16,79343,94631,94728,360,Home,Semi-Urban,Undergraduate,Male,Private,1
APP-1082,11692,1000,Salaried,33,Married,4,708,1,0.16,6492,20529,18584,180,Business,Urban,Graduate,Male,Govt,1
APP-1083,14990,2000,Business,38,Married,0,828,1,0.17,32357,42175,134555,240,Personal,Urban,Graduate,Female,Private,1
APP-1084,8873,2500,Salaried,57,Married,1,715,2,0.11,72838,27675,103302,120,Education,Semi-Urban,Postgraduate,Female,Govt,1
APP-1085,7675,2000,Salaried,33,Single,0,617,4,0.14,33314,184230,132408,12,Home,Semi-Urban,Graduate,Female,Self,1
APP-1086,2161,1500,Salaried,56,Married,0,637,2,0.43,49697,56798,28830,12,Home,Semi-Urban,Graduate,Male,Private,0
APP-1087,6297,1000,Self-Employed,51,Married,2,766,1,0.32,71283,80910,87066,120,Personal,Semi-Urban,Undergraduate,Female,Govt,1
APP-1088,12173,2500,Salaried,22,Married,0,550,1,0.48,60567,140400,13591,24,Home,Urban,Graduate,Male,Private,0
APP-1089,2995,0,Business,36,Married,1,684,2,0.6,48006,167048,103878,240,Business,Semi-Urban,Graduate,Male,Self,0
APP-1090,13534,5000,Self-Employed,29,Married,0,734,1,0.43,61011,88678,135407,12,Business,Semi-Urban,Graduate,Male,Private,1
APP-1091,14743,2000,Salaried,29,Single,1,689,2,0.13,11686,72821,126869,24,Business,Urban,Graduate,Male,Self,1
APP-1092,9629,0,Business,58,Single,2,655,1,0.15,38449,22204,31395,240,Home,Rural,Graduate,Female,Private,1
APP-1093,13990,2000,Self-Employed,31,Married,1,682,0,0.54,62606,196737,26738,120,Personal,Semi-Urban,Graduate,Female,Govt,1
APP-1094,11467,1500,Self-Employed,42,Married,2,657,0,0.36,19891,17394,143703,24,Home,Semi-Urban,Graduate,Female,Private,1
APP-1095,3016,2000,Salaried,53,Married,2,727,1,0.51,53115,74814,29056,24,Home,Rural,Postgraduate,Female,Private,0
APP-1096,9869,2500,Salaried,56,Single,3,847,0,0.53,61719,43593,131656,180,Home,Rural,Graduate,Male,Private,1
APP-1097,8439,0,Salaried,43,Married,1,695,0,0.56,74030,183036,125316,60,Home,Rural,Graduate,Female,Private,0
APP-1098,9892,1500,Salaried,54,Married,2,623,1,0.57,37723,125064,64418,60,Business,Urban,Postgraduate,Male,Private,0
APP-1099,8863,4000,Salaried,29,Married,4,657,0,0.38,30877,63365,47190,240,Home,Urban,Undergraduate,Female,Private,0
APP-1100,9916,0,Self-Employed,44,Married,2,671,0,0.27,15026,141515,36014,180,Home,Urban,Graduate,Female,Private,1
APP-1101,10529,1500,Salaried,28,Married,1,566,2,0.58,21422,169252,135563,360,Business,Urban,Graduate,Female,Private,0
APP-1102,2878,0,Salaried,27,Married,2,745,4,0.37,10244,189863,11780,48,Home,Rural,Graduate,Male,Self,0
APP-1103,11268,1000,Business,56,Married,2,846,2,0.13,34481,184737,52192,48,Personal,Semi-Urban,Postgraduate,Female,Private,1
APP-1104,6887,1500,Business,38,Single,2,801,4,0.42,59031,113700,114875,24,Home,Urban,Graduate,Male,Private,1
APP-1105,14185,1500,Salaried,23,Married,0,668,1,0.39,9521,107077,109129,36,Home,Urban,Graduate,Male,Private,1
APP-1106,6859,0,Business,48,Single,0,711,0,0.55,2746,144537,53923,12,Business,Urban,Graduate,Female,Self,0
APP-1107,8331,2000,Salaried,26,Married,3,747,1,0.43,69232,78247,99196,12,Home,Semi-Urban,Graduate,Male,Private,1
APP-1108,10571,0,Salaried,64,Single,0,594,2,0.27,13012,192631,12395,180,Personal,Semi-Urban,Graduate,Female,Private,0
APP-1109,10684,0,Self-Employed,64,Single,2,728,0,0.58,24457,166270,112449,60,Home,Rural,Graduate,Male,Self,0
APP-1110,9208,0,Salaried,41,Married,1,593,0,0.5,71572,64740,131747,36,Home,Rural,Undergraduate,Male,Self,0
APP-1111,7276,0,Salaried,48,Single,1,820,2,0.42,30960,163560,81028,180,Home,Urban,Postgraduate,Female,Private,1
APP-1112,4062,1000,Salaried,60,Married,0,627,0,0.25,8910,179587,148183,24,Home,Urban,Graduate,Male,Private,0
APP-1113,14076,2000,Salaried,21,Single,0,727,1,0.29,3693,37898,103176,36,Home,Urban,Graduate,Male,Private,1
APP-1114,2064,2500,Salaried,56,Married,4,552,0,0.43,16858,142991,36924,12,Personal,Urban,Graduate,Male,Private,0
APP-1115,10006,0,Salaried,41,Married,3,763,1,0.14,29810,191142,42577,240,Education,Rural,Graduate,Male,Self,1
APP-1116,4568,3000,Self-Employed,63,Married,2,623,1,0.23,21092,72613,148783,24,Home,Semi-Urban,Undergraduate,Female,Self,0
APP-1117,7463,2000,Self-Employed,55,Single,1,600,0,0.46,49700,106707,95548,180,Education,Semi-Urban,Undergraduate,Male,Govt,0
APP-1118,4027,1000,Salaried,33,Married,2,616,0,0.34,59105,121777,135093,360,Business,Semi-Urban,Graduate,Female,Private,0
APP-1119,4695,4000,Salaried,30,Married,2,642,1,0.3,31505,57003,145168,120,Business,Urban,Graduate,Female,Private,0
APP-1120,11687,5000,Salaried,64,Single,1,725,2,0.18,74228,58478,76555,24,Personal,Urban,Graduate,Male,Self,1
APP-1121,7258,0,Salaried,30,Single,0,694,3,0.32,29555,155506,99848,24,Business,Semi-Urban,Postgraduate,Female,Private,0
APP-1122,7618,0,Self-Employed,33,Married,2,556,1,0.49,72934,187318,18254,360,Home,Semi-Urban,Postgraduate,Female,Private,0
APP-1123,8736,4000,Salaried,57,Married,2,818,2,0.23,73788,177721,135410,240,Home,Urban,Undergraduate,Male,Govt,1
APP-1124,2391,2000,Salaried,58,Married,4,553,0,0.1,78257,69030,147037,360,Personal,Semi-Urban,Postgraduate,Male,Private,0
APP-1125,14706,0,Self-Employed,44,Married,0,687,0,0.43,18939,194133,113025,48,Personal,Rural,Graduate,Male,Govt,1
APP-1126,14666,2500,Self-Employed,22,Married,2,780,0,0.59,12825,143071,140509,48,Education,Semi-Urban,Postgraduate,Female,Self,1
APP-1127,7892,2500,Self-Employed,42,Single,1,637,1,0.4,25151,155921,42963,24,Education,Semi-Urban,Postgraduate,Female,Private,0
APP-1128,5561,2500,Salaried,37,Married,1,566,0,0.16,1036,62800,13273,12,Business,Semi-Urban,Postgraduate,Male,Private,0
APP-1129,12470,2500,Salaried,56,Single,0,601,0,0.26,40051,15445,25330,48,Business,Semi-Urban,Graduate,Female,Private,1
APP-1130,8184,2500,Salaried,34,Married,1,683,1,0.53,74596,159112,86422,240,Education,Rural,Postgraduate,Female,Self,0
APP-1131,5099,0,Salaried,30,Married,1,760,2,0.22,61071,10246,132089,24,Personal,Rural,Postgraduate,Female,Private,1
APP-1132,8278,0,Self-Employed,55,Married,1,768,0,0.4,74601,41153,13212,240,Home,Urban,Postgraduate,Female,Govt,1
APP-1133,10392,2000,Self-Employed,45,Married,2,754,0,0.3,30873,15212,97594,12,Home,Semi-Urban,Postgraduate,Male,Self,1
APP-1134,5104,4000,Self-Employed,23,Single,2,760,1,0.2,37648,144411,142152,12,Home,Urban,Postgraduate,Female,Self,1
APP-1135,9215,0,Self-Employed,58,Single,1,826,1,0.51,72468,66238,42675,48,Education,Urban,Postgraduate,Female,Self,1
APP-1136,14790,1500,Salaried,37,Married,3,573,1,0.47,27470,160466,32007,180,Home,Semi-Urban,Postgraduate,Female,Govt,0
APP-1137,4454,2000,Self-Employed,32,Single,1,553,0,0.43,66129,63871,123805,360,Business,Rural,Postgraduate,Male,Govt,0
APP-1138,13837,1000,Salaried,44,Single,0,701,1,0.22,9328,110672,92641,60,Home,Urban,Graduate,Male,Govt,1
APP-1139,10996,2000,Salaried,49,Married,2,808,3,0.15,7333,44607,105815,24,Personal,Urban,Graduate,Male,Govt,1
APP-1140,4731,3000,Salaried,63,Single,0,717,0,0.39,47638,62055,56815,180,Home,Urban,Graduate,Male,Private,0
APP-1141,12965,2000,Salaried,45,Married,1,725,4,0.38,12268,114509,93482,24,Home,Semi-Urban,Postgraduate,Female,Govt,1
APP-1142,10154,1500,Salaried,56,Married,0,840,0,0.19,71603,145467,10639,360,Business,Urban,Postgraduate,Male,Private,1
APP-1143,11762,1000,Business,46,Single,0,605,0,0.13,18045,137378,73593,360,Personal,Urban,Undergraduate,Female,Private,1
APP-1144,7056,1500,Salaried,58,Married,3,657,1,0.14,41741,156362,88038,36,Business,Semi-Urban,Graduate,Female,Private,1
APP-1145,10110,0,Salaried,21,Married,0,845,0,0.6,43770,97687,103899,240,Business,Urban,Graduate,Female,Self,1
APP-1146,12882,0,Salaried,40,Single,1,690,0,0.49,8887,75078,13736,48,Home,Semi-Urban,Graduate,Male,Govt,0
APP-1147,5840,1500,Self-Employed,48,Married,0,704,1,0.56,25918,144763,26473,36,Home,Rural,Graduate,Female,Private,0
APP-1148,3028,0,Salaried,36,Married,2,811,2,0.2,36497,148542,138771,12,Business,Urban,Postgraduate,Female,Private,1
APP-1149,9385,0,Self-Employed,37,Single,1,822,3,0.58,62009,144913,135801,60,Business,Semi-Urban,Graduate,Female,Govt,1
APP-1150,2502,1500,Salaried,60,Married,2,781,1,0.17,12929,112652,117598,48,Personal,Semi-Urban,Postgraduate,Male,Private,1
APP-1151,8910,1000,Self-Employed,48,Married,1,790,0,0.35,62762,73197,96623,12,Personal,Semi-Urban,Postgraduate,Male,Private,1
APP-1152,14685,0,Salaried,32,Single,0,807,1,0.51,29546,65773,46820,240,Personal,Semi-Urban,Graduate,Male,Private,1
APP-1153,11062,2000,Self-Employed,47,Married,1,798,1,0.27,79424,158848,67589,240,Home,Urban,Undergraduate,Male,Self,1
APP-1154,8938,2000,Self-Employed,62,Married,0,626,2,0.31,38338,128943,28414,240,Personal,Rural,Graduate,Male,Private,0
APP-1155,6488,0,Salaried,50,Single,1,729,2,0.16,35283,37584,137378,36,Business,Rural,Graduate,Male,Govt,1
APP-1156,2206,3000,Salaried,61,Single,1,615,3,0.16,79170,145372,34220,120,Personal,Urban,Undergraduate,Female,Private,0
APP-1157,7134,1000,Salaried,54,Married,3,720,1,0.41,47566,13338,70531,180,Home,Urban,Undergraduate,Male,Govt,0
APP-1158,7977,2000,Salaried,57,Single,0,571,1,0.44,29013,72601,120002,360,Home,Urban,Graduate,Male,Private,0
APP-1159,9721,1500,Salaried,26,Single,2,656,0,0.49,53132,146559,19387,60,Home,Urban,Graduate,Female,Private,0
APP-1160,9035,5000,Self-Employed,27,Married,0,776,4,0.38,29084,46282,86815,360,Home,Semi-Urban,Graduate,Male,Govt,1
APP-1161,3484,2500,Salaried,52,Married,1,765,0,0.42,22143,125447,37584,120,Business,Urban,Graduate,Female,Self,0
APP-1162,9858,2000,Salaried,52,Married,1,618,0,0.11,15179,105798,54783,48,Home,Urban,Undergraduate,Male,Self,1
APP-1163,2863,2500,Salaried,45,Single,3,633,0,0.18,59726,140963,134494,12,Home,Rural,Postgraduate,Male,Self,0
APP-1164,4790,0,Salaried,53,Married,0,652,2,0.59,11222,118611,125814,12,Home,Urban,Graduate,Male,Private,0
APP-1165,9408,0,Business,27,Married,0,588,1,0.14,60965,169876,140752,60,Personal,Rural,Undergraduate,Female,Private,0
APP-1166,10755,2000,Salaried,32,Single,1,562,1,0.44,65068,150987,83588,36,Education,Semi-Urban,Graduate,Male,Self,0
APP-1167,7116,1000,Self-Employed,36,Single,0,846,4,0.19,24949,21158,23580,60,Home,Urban,Graduate,Female,Private,1
APP-1168,14383,2500,Self-Employed,36,Married,0,730,3,0.46,17116,20547,28240,60,Home,Semi-Urban,Undergraduate,Male,Self,1
APP-1169,8019,0,Self-Employed,63,Married,1,817,0,0.45,52052,98713,93446,12,Home,Semi-Urban,Undergraduate,Male,Govt,1
APP-1170,3757,1500,Business,56,Married,0,562,0,0.22,52369,12459,114533,240,Education,Urban,Undergraduate,Female,Govt,0
APP-1171,9574,0,Salaried,33,Married,0,669,2,0.23,49817,169840,90974,60,Home,Urban,Postgraduate,Male,Private,1
APP-1172,8374,1000,Business,27,Single,2,606,3,0.43,75311,73146,83401,60,Business,Semi-Urban,Postgraduate,Female,Private,0
APP-1173,8892,2000,Salaried,56,Single,1,589,1,0.3,30655,113577,13646,360,Education,Rural,Graduate,Male,Private,0
APP-1174,3678,1500,Salaried,29,Married,0,677,1,0.2,58802,191942,52816,240,Home,Semi-Urban,Postgraduate,Male,Self,0
APP-1175,5242,1500,Self-Employed,52,Married,0,722,0,0.47,48632,117761,99460,12,Personal,Urban,Undergraduate,Female,Govt,0
APP-1176,6636,1000,Business,31,Single,2,584,2,0.18,15193,113727,54112,36,Home,Semi-Urban,Graduate,Female,Govt,0
APP-1177,3059,1000,Self-Employed,28,Married,0,808,1,0.53,31776,60460,61048,180,Personal,Semi-Urban,Postgraduate,Male,Self,0
APP-1178,8668,2500,Salaried,53,Married,1,554,1,0.36,44225,92970,142850,12,Home,Semi-Urban,Graduate,Female,Govt,0
APP-1179,11914,0,Salaried,43,Married,0,767,0,0.15,61010,179319,55752,12,Personal,Semi-Urban,Graduate,Male,Private,1
APP-1180,13506,1500,Business,45,Married,1,560,3,0.45,66451,25419,80726,60,Personal,Semi-Urban,Postgraduate,Female,Private,0
APP-1181,5157,1500,Salaried,28,Single,1,666,1,0.36,49812,45577,54788,360,Business,Rural,Graduate,Female,Govt,0
APP-1182,7915,2000,Self-Employed,42,Married,2,733,0,0.25,19895,12921,14747,120,Home,Semi-Urban,Postgraduate,Male,Private,1
APP-1183,12817,1500,Self-Employed,24,Married,3,665,1,0.31,66782,145748,10045,24,Home,Semi-Urban,Graduate,Male,Private,1
APP-1184,12921,2500,Salaried,60,Married,2,711,1,0.25,22209,190756,17758,360,Education,Urban,Undergraduate,Male,Self,1
APP-1185,11789,5000,Salaried,23,Single,0,616,1,0.23,62807,154535,135076,120,Business,Rural,Graduate,Male,Private,1
APP-1186,13252,0,Salaried,49,Married,0,749,2,0.18,24086,166546,66950,60,Business,Rural,Graduate,Male,Private,1
APP-1187,4693,0,Salaried,61,Married,1,580,1,0.28,28207,50935,29455,60,Home,Urban,Graduate,Female,Private,0
APP-1188,5627,1000,Business,49,Married,0,624,3,0.23,21897,135534,98552,36,Home,Semi-Urban,Undergraduate,Female,Private,0
APP-1189,11555,0,Salaried,54,Married,0,786,0,0.44,64083,199668,56116,120,Education,Urban,Postgraduate,Male,Govt,1
APP-1190,12173,2000,Business,54,Married,2,615,0,0.44,67957,82828,130461,48,Home,Rural,Postgraduate,Male,Private,0
APP-1191,7450,4000,Salaried,48,Married,1,619,0,0.35,79506,133649,50484,24,Home,Semi-Urban,Graduate,Male,Govt,0
APP-1192,3663,0,Business,33,Married,1,846,1,0.49,8283,99062,91638,36,Home,Urban,Graduate,Female,Govt,1
APP-1193,11721,0,Salaried,35,Married,1,569,1,0.52,1255,65152,144476,360,Personal,Rural,Graduate,Male,Private,0
APP-1194,12230,0,Salaried,43,Single,1,775,3,0.39,77555,106491,110647,360,Business,Urban,Postgraduate,Male,Private,1
APP-1195,7592,2000,Salaried,64,Married,0,748,2,0.41,16487,96569,75642,120,Business,Rural,Graduate,Male,Govt,1
APP-1196,13494,1500,Self-Employed,46,Married,3,588,1,0.24,20346,82467,56009,360,Home,Semi-Urban,Undergraduate,Male,Private,1
APP-1197,12429,0,Self-Employed,24,Married,0,694,4,0.55,36050,193648,138824,48,Personal,Urban,Postgraduate,Male,Private,0
APP-1198,9392,4000,Self-Employed,46,Single,2,594,0,0.11,9744,166844,39605,60,Business,Urban,Graduate,Male,Govt,1
APP-1199,3306,2500,Salaried,60,Married,2,640,2,0.27,25756,157435,120879,120,Home,Urban,Graduate,Male,Self,0
APP-1200,14221,0,Salaried,29,Single,2,787,1,0.46,62596,169562,130827,360,Personal,Semi-Urban,Postgraduate,Male,Govt,1
APP-1201,8776,2000,Salaried,25,Single,1,619,1,0.14,26146,132537,15580,60,Education,Semi-Urban,Graduate,Male,Self,1
APP-1202,12867,2500,Salaried,52,Married,0,715,2,0.19,56032,63806,124902,240,Home,Urban,Graduate,Male,Govt,1
APP-1203,7864,0,Salaried,40,Single,1,679,1,0.39,43687,141332,15400,12,Education,Urban,Graduate,Male,Self,0
APP-1204,11474,0,Business,31,Married,2,763,0,0.38,47103,85992,106032,60,Home,Urban,Postgraduate,Female,Govt,1
APP-1205,9526,0,Business,35,Married,1,638,1,0.47,22976,32320,137319,12,Personal,Semi-Urban,Postgraduate,Female,Private,0
APP-1206,10901,0,Business,52,Single,3,801,1,0.51,63863,88971,116960,120,Home,Semi-Urban,Graduate,Male,Private,1
APP-1207,7575,2500,Self-Employed,48,Single,1,621,2,0.16,1591,183217,49015,180,Home,Urban,Graduate,Male,Private,1
APP-1208,7530,4000,Salaried,42,Married,0,714,1,0.11,7277,58581,81713,60,Home,Semi-Urban,Graduate,Female,Private,1
